Name,URL,Conf.,Year,Used,Description,Produced,Description,Data,PDF_file_name
"Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations",https://dl.acm.org/authorize.cfm?key=N14308,CCS,2016,No,\,No,\,Non-data,p843-evtyushkin.pdf
Return-Oriented Flush-Reload Side Channels on ARM and Their Implications for Android Devices,https://dl.acm.org/authorize.cfm?key=N14309,CCS,2016,No,\,No,\,Non-data,p858-zhang.pdf
A Software Approach to Defeating Side Channels in Last-Level Caches,https://dl.acm.org/authorize.cfm?key=N14300,CCS,2016,No,\,No,\,Non-data,p871-zhou.pdf
Leave Your Phone at the Door: Side Channels that Reveal Factory Floor Secrets,https://dl.acm.org/authorize.cfm?key=N14301,CCS,2016,No,\,Yes,the relevant sensor data by deliberately or accidentally placing an,Data,p883-hojjati.pdf
My Smartphone Knows What You Print: Exploring Smartphone-based Side-channel Attacks Against 3D Printers,https://dl.acm.org/authorize.cfm?key=N14302,CCS,2016,No,\,Yes,we implement an application on Nexus 5 (Android OS v6.01) to collect the acoustic data,Data,p895-song.pdf
The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio,https://dl.acm.org/authorize.cfm?key=N14303,CCS,2016,No,\,Yes,we collect general population statistics via an online sur- vey to determine the phone usage habits relevant to our attacks.,Data,p908-shrestha.pdf
Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,CCS,2016,Yes,"1,591 service interfaces of all the 80 system services in Android 5.1.0",No,\,Data,p92-wang.pdf
UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,No,\,Yes,19 of the new data leak vulnerabilities in the latest kernels have been confirmed,Data,p920-lu.pdf
iLock: Immediate and Automatic Locking of Mobile Devices against Data Theft,https://dl.acm.org/authorize.cfm?key=N14315,CCS,2016,No,\,No,\,Non-data,p933-li.pdf
Hypnoguard: Protecting Secrets across Sleep-wake Cycles,https://dl.acm.org/authorize.cfm?key=N14316,CCS,2016,No,\,No,\,Non-data,p945-zhao.pdf
5Gen: A Framework for Prototyping Applications Using Multilinear Maps and Matrix Branching Programs,https://dl.acm.org/authorize.cfm?key=N14317,CCS,2016,No,\,No,\,Non-data,p981-lewi.pdf
Functional Lattice Cryptography,https://dl.acm.org/authorize.cfm?key=N14318,CCS,2016,No,\,No,\,Non-data,p993-crockett.pdf
Practical Darknet Measurement,http://mdbailey.ece.illinois.edu/publications/ciss06_final.pdf,CISS,2006,No,\,No,the real-world savings consider that a certain IMS darknet ,Data,ciss06_final.pdf
Remote Detection of Bottleneck Links Using Spectral and Statistical Methods,https://www.isi.edu/~johnh/PAPERS/He09a.pdf,Computer Networks V 53 (N. 3),2009,Yes,\,No,\,Non-data,He09a.pdf
Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,Yes,We used DB-IP database ,Yes,"The basis of our study relies upon repeated crawls of the rental section|Our primary data set is based on listings collected from daily crawls|We identified initial postings for each campaign|To detect clone scams, our crawler tracked rental posts on Craigslist and 5 other major rental websites.",Data,01_Park.pdf
Graph Analytics for Real-Time Scoring of Cross-Channel Transactional Fraud.,https://doi.org/10.1007/978-3-662-54970-4_2,FC,2016,No,"The data set that we use is proprietary|The only large public data set is the Bitcoin [21] blockchain, currently having 420 million transactions and about 85 million Bitcoin addresses which can be seen as accounts.",No,\,Data,02_Molloy.pdf
Android UI Deception Revisited: Attacks and Defenses.,https://doi.org/10.1007/978-3-662-54970-4_3,FC,2016,No,\,No,\,Non-data,03_Fernandes.pdf
Introducing Reputation Systems to the Economics of Outsourcing Computations to Rational Workers.,https://doi.org/10.1007/978-3-662-54970-4_4,FC,2016,No,\,No,\,Non-data,04_Aljuraidan.pdf
Accountable Privacy for Decentralized Anonymous Payments.,https://doi.org/10.1007/978-3-662-54970-4_5,FC,2016,No,\,No,\,Non-data,05_Garman.pdf
Private eCash in Practice (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_6,FC,2016,No,\,No,\,Non-data,06_Barki.pdf
Practically Efficient Secure Single-Commodity Multi-market Auctions.,https://doi.org/10.1007/978-3-662-54970-4_7,FC,2016,No,\,No,\,Non-data,07_Aly.pdf
How to Challenge and Cast Your e-Vote.,https://doi.org/10.1007/978-3-662-54970-4_8,FC,2016,No,\,No,\,Non-data,08_Guasch.pdf
VD-PSI: Verifiable Delegated Private Set Intersection on Outsourced Private Datasets.,https://doi.org/10.1007/978-3-662-54970-4_9,FC,2016,No,\,No,\,Non-data,09_Abadi.pdf
Confidential Benchmarking Based on Multiparty Computation.,https://doi.org/10.1007/978-3-662-54970-4_10,FC,2016,Yes,\,No,\,Non-data,10_Damgaard.pdf
Efficiently Making Secure Two-Party Computation Fair.,https://doi.org/10.1007/978-3-662-54970-4_11,FC,2016,No,\,No,\,Non-data,11_Kilinc.pdf
Fast Optimistically Fair Cut-and-Choose 2PC.,https://doi.org/10.1007/978-3-662-54970-4_12,FC,2016,No,\,No,\,Non-data,12_Kupcu.pdf
CuriousDroid: Automated User Interface Interaction for Android Application Analysis Sandboxes.,https://doi.org/10.1007/978-3-662-54970-4_13,FC,2016,No,\,Yes,"Our evaluation was performed over a data set of 51,571 randomly selected An- droid applications from five categories: |We found that out of the 51,571 applications tested",Data,13_Carter.pdf
DroydSeuss: A Mobile Banking Trojan Tracker (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_14,FC,2016,Yes,"For the purpose of this evaluation we used 4,293 samples of banking trojans, downloaded nightly through the VirusTotal Intelligence API|Alexa Top 1M domain list",No,\,Data,14_Coletta.pdf
DroidAuditor: Forensic Analysis of Application-Layer Privilege Escalation Attacks on Android (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_15,FC,2016,No,\,No,\,Non-data,15_Heuser.pdf
"Discrete Choice, Social Interaction, and Policy in Encryption Technology Adoption (Short Paper).",https://doi.org/10.1007/978-3-662-54970-4_16,FC,2016,No,\,No,\,Non-data,16_Caulfield.pdf
Failures of Security APIs: A New Case.,https://doi.org/10.1007/978-3-662-54970-4_17,FC,2016,Yes,By sending a sequence of numbers starting from 1 to 72154 ,No,\,Data,17_Algwil.pdf
Explicit Optimal Binary Pebbling for One-Way Hash Chain Reversal.,https://doi.org/10.1007/978-3-662-54970-4_18,FC,2016,No,\,No,\,Non-data,18_Schoenmakers.pdf
Factoring as a Service.,https://doi.org/10.1007/978-3-662-54970-4_19,FC,2016,Yes,We analyzed several DNSSEC datasets |contained in the Rapid7 dataset|We examined IPv4 scan results for HTTPS on port 443 performed using Zmap,Yes,We conducted two Zmap scans of the full IPv4 space ,Data,19_Valenta.pdf
The Self-blindable U-Prove Scheme from FC'14 Is Forgeable (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_20,FC,2016,No,\,No,\,Non-data,20_Verheul.pdf
A Sound for a Sound: Mitigating Acoustic Side Channel Attacks on Password Keystrokes with Active Sounds.,https://doi.org/10.1007/978-3-662-54970-4_21,FC,2016,No,\,Yes,hunt and peck dataset ,Data,21_Anand.pdf
Leaky Birds: Exploiting Mobile Application Traffic for Surveillance.,https://doi.org/10.1007/978-3-662-54970-4_22,FC,2016,No,\,Yes,"we crawled the entire Play Store and obtained information on 1,003,701 different Android apps|In total we found 1597 rules with our method",Data,22_Vanrykel.pdf
Footprint Scheduling for Dining-Cryptographer Networks.,https://doi.org/10.1007/978-3-662-54970-4_23,FC,2016,No,\,No,\,Non-data,23_Krasnova.pdf
How Anywhere Computing Just Killed Your Phone-Based Two-Factor Authentication.,https://doi.org/10.1007/978-3-662-54970-4_24,FC,2016,No,\,No,\,Non-data,24_Konoth.pdf
Security Keys: Practical Cryptographic Second Factors for the Modern Web.,https://doi.org/10.1007/978-3-662-54970-4_25,FC,2016,No,\,No,\,Non-data,25_Lang.pdf
Include Me Out: In-Browser Detection of Malicious Third-Party Content Inclusions.,https://doi.org/10.1007/978-3-662-54970-4_26,FC,2016,Yes,"the top 1M |To collect inclusion sequences related to extensions, we used 292 Chrome extensions reported in prior work|We labeled collected inclusion sequences as either benign or malicious using VirusTotal",Yes,and crawled the home pages of the Alexa Top 200K ,Data,26_Arshad.pdf
A Sensitivity-Adaptive _Å-Uncertainty Model for Set-Valued Data.,https://doi.org/10.1007/978-3-662-54970-4_27,FC,2016,Yes,We labeled collected inclusion sequences as either benign or malicious using VirusTotal ,No,\,Data,27_Chen.pdf
Incentive Compatibility of Bitcoin Mining Pool Reward Functions.,https://doi.org/10.1007/978-3-662-54970-4_28,FC,2016,No,\,No,\,Non-data,28_Schrijvers.pdf
When Cryptocurrencies Mine Their Own Business.,https://doi.org/10.1007/978-3-662-54970-4_29,FC,2016,No,\,No,\,Non-data,29_Teutsch.pdf
Optimal Selfish Mining Strategies in Bitcoin.,https://doi.org/10.1007/978-3-662-54970-4_30,FC,2016,No,\,No,\,Non-data,30_Sapirshtein.pdf
A Short Paper on Blind Signatures from Knowledge Assumptions.,https://doi.org/10.1007/978-3-662-54970-4_31,FC,2016,No,\,No,\,Non-data,31_Hanzlik.pdf
KBID: Kerberos Bracelet Identification (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_32,FC,2016,No,\,No,\,Non-data,32_Carrigan.pdf
The Other Side of the Coin: User Experiences with Bitcoin Security and Privacy.,https://doi.org/10.1007/978-3-662-54970-4_33,FC,2016,No,\,Yes,"We recruited 1,265 participants over July 8-15, 2015 via these channels. ",Data,33_Krombholz.pdf
Refund Attacks on Bitcoin's Payment Protocol.,https://doi.org/10.1007/978-3-662-54970-4_34,FC,2016,No,\,No,\,Non-data,34_McCorry.pdf
Are Payment Card Contracts Unfair? (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_35,FC,2016,No,\,Yes,We received 241 (out of 250) valid responses ,Data,35_Murdoch.pdf
The Bitcoin Brain Drain: Examining the Use and Abuse of Bitcoin Brain Wallets.,https://doi.org/10.1007/978-3-662-54970-4_36,FC,2016,Yes,We have constructed an extensive set of passwords derived from publicly available sources.|We download the Bitcoin blockchain,Yes,We extract a list of all used Bitcoin addresses and then compare all of our generated passwords to construct a list of all used brain wallets. ,Data,36_Vasek.pdf
Detection of Low-Rate Attacks in Computer Networks,http://www.isi.edu/~johnh/PAPERS/Thatte08a.pdf,IEEE Global Internet Symposium 2008,2008,Yes,we use the former method to detect the presence of an attack in real Internet traces,No,\,Data,Thatte08a.pdf
A Cognitive Multifractal Approach to Characterize Complexity of Non-Stationary and Malicious DNS Data Traffic Using Adaptive Sliding Window ,https://www.computer.org/csdl/proceedings/iccicc/2015/7290/00/07259368.pdf,IEEE on Congnitive Computing,2015,Yes,PREDICT ID USC| DoS_DNS_amplification-20130617 ,No,\,Data,07259368.pdf
Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,we describe the design of our experiment and our data collection methodology|We collected a set of public IPv6 addresses|Alexa top 1M domains|we analyzed a single week of IPv4 background radiation captured,No,\,Data,imc027-czyzA.pdf
Revealing Middlebox Interference with Tracebox,http://conferences.sigcomm.org/imc/2013/papers/imc032s-detalA.pdf,IMC,2013,Yes,"top 5,000 Alexa web sites|Each VP had a target list of 5,000 items",No,\,Data,imc032s-detalA.pdf
A Fistful of Bitcoins: Characterizing Payments Among Men with No Names,http://conferences.sigcomm.org/imc/2013/papers/imc182-meiklejohnA.pdf,IMC,2013,Yes,We engaged in 344 transactions with a wide variety of services|We kept money with most of the major wallet services|we tagged these services just as we did the wallets|We collected all of these tags ,No,\,Data,imc182-meiklejohnA.pdf
Follow the Money,http://conferences.sigcomm.org/imc/2013/papers/imc184s-gillAemb.pdf,IMC,2013,Yes,"We use three data sets, summarized",No,\,Data,imc184s-gillAemb.pdf
Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,Yes,"In this section we describe the datasets used in our analysis|Our primary dataset consists of changes made to the .com|Our data includes captures of the DNZA files as recorded|we operated a spam trap|we subscribed to three major DNS blacklists, URIBL, SURBL, and Spamhaus DBL.",No,\,Data,imc247-haoA.pdf
Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,"The graph consists of all the 52,986 IPv6 interfaces",Yes,"probe at a low rate of 20pps from a single VP, producing 26Kbps of traffic",Data,imc40s-luckieAemb.pdf
"Analysis of a /0"" stealth scan from a botnet.""",http://doi.acm.org/10.1145/2398776.2398778,imc,2012,Yes,DShield is a constantly updated reposi- tory of scanning and attack reports|MAWI WIDE Samplepoint-F,No,\,Data,p1-dainotti.pdf
MAPLE: a scalable architecture for maintaining packet latency measurements.,http://doi.acm.org/10.1145/2398776.2398788,imc,2012,No,\,No,\,Non-data,p101-lee.pdf
Can you GET me now?: estimating the time-to-first-byte of HTTP transactions with passive measurements.,http://doi.acm.org/10.1145/2398776.2398789,imc,2012,No,\,Yes,we collect two packet traces at Gn links of a major U.S. cellu- lar carrier ,Data,p115-halepovic.pdf
Towards geolocation of millions of IP addresses.,http://doi.acm.org/10.1145/2398776.2398790,imc,2012,Yes,To evaluate this conjecture we begin with 400 vantage points ,Yes,"Instead, we evaluate Shortest Ping and CBG on each of 10,000 ran- domly chosen subsets.|we have geolocated 78 /8s, about 35% of the allocated, unicast, IPv4 address-space.",Data,p123-hu.pdf
"Evolution of social-attribute networks: measurements, modeling, and implications using google+.",http://doi.acm.org/10.1145/2398776.2398792,imc,2012,No,\,Yes,we began to crawl daily snapshots of pub- lic Google+ social network structure and user profiles ,Data,p131-gong.pdf
Evolution of a location-based online social network: analysis and models.,http://doi.acm.org/10.1145/2398776.2398793,imc,2012,Yes,we have downloaded daily snapshots of Gowalla data ,No,\,Data,p145-allamanis.pdf
Detecting prefix hijackings in the internet with argus.,http://doi.acm.org/10.1145/2398776.2398779,imc,2012,Yes,The LRM accomplishes this task by maintaining a local database of candidate live IP addresses in all announced pre- fixes in the Internet ,Yes,"Argus has been continuously monitoring the Internet for one year, starting from May 2, 2011 ",Data,p15-shi.pdf
New kid on the block: exploring the google+ social graph.,http://doi.acm.org/10.1145/2398776.2398794,imc,2012,No,\,Yes,We used a total of 11 machines with different IP addresses to efficiently gather large amount of data ,Data,p159-magno.pdf
Multi-scale dynamics in a massive online social network.,http://doi.acm.org/10.1145/2398776.2398795,imc,2012,Yes,"Our anonymized dataset encompasses the timestamped creation events of all users and edges in the social network. The dataset covers more than 2 years, starting on Novem- ber 21, 2005 and ending December 31, 2007. ",No,\,Data,p171-zhao.pdf
Watching videos from everywhere: a study of the PPTV mobile VoD system.,http://doi.acm.org/10.1145/2398776.2398797,imc,2012,Yes,Our dataset was collected from the log servers of PPTV ,No,\,Data,p185-li.pdf
Program popularity and viewer behaviour in a large TV-on-demand system.,http://doi.acm.org/10.1145/2398776.2398798,imc,2012,No,\,No,\,Non-data,p199-abrahamsson.pdf
Video stream quality impacts viewer behavior: inferring causality using quasi-experimental designs.,http://doi.acm.org/10.1145/2398776.2398799,imc,2012,Yes,The data sets that we use for our analysis are collected from a large cross section of actual users around the world who play videos using media players that incorporate the widely-deployed Akamaiês client-side media analytics plug in ,No,\,Data,p211-krishnan.pdf
"Confused, timid, and unstable: picking a video streaming rate is hard.",http://doi.acm.org/10.1145/2398776.2398800,imc,2012,No,\,No,\,Non-data,p225-huang.pdf
Routing state distance: a path-based metric for network analysis.,http://doi.acm.org/10.1145/2398776.2398802,imc,2012,Yes,"To evaluate our methods, we use a collection of BGP ta- bles collected on midnight UTC on December 6, 2011 from the Routeviews [18] and RIPE [16] repositories. ",No,\,Data,p239-gursun.pdf
On the incompleteness of the AS-level graph: a novel methodology for BGP route collector placement.,http://doi.acm.org/10.1145/2398776.2398803,imc,2012,Yes,"There are three main projects that collect BGP data and make it publicly available on the web: RouteViews, RIS and PCH. ",No,\,Data,p253-gregori.pdf
Quantifying violations of destination-based forwarding on the internet.,http://doi.acm.org/10.1145/2398776.2398804,imc,2012,No,\,Yes,"we recorded more than 260,000 traces using 179 PlanetLab sites, 65 of which do not filter source-spoofed packets.",Data,p265-flach.pdf
Revisiting broadband performance.,http://doi.acm.org/10.1145/2398776.2398805,imc,2012,Yes,"The data we use in this study were collected from Speedtest servers located in 59 metro areas over a period of six months from June 1, 2011 through November 30, 2011 ",No,\,Data,p273-canadi.pdf
Obtaining in-context measurements of cellular network performance.,http://doi.acm.org/10.1145/2398776.2398807,imc,2012,Yes,"Our network dataset consists of anonymized flow records and radio resource control events from approximately 20,000 devices connected to a large US- based cellular provider. ",No,\,Data,p287-gember.pdf
Concurrent prefix hijacks: occurrence and impacts.,http://doi.acm.org/10.1145/2398776.2398780,imc,2012,Yes,WHOIS ,Yes,"Applying our algorithm to BGP data collected by Route- Views Oregon collector, we detect totally 60 concurrent pre- fix hijacks from 2003 through 2010, ",Data,p29-khare.pdf
Cell vs. WiFi: on the performance of metro area mobile connections.,http://doi.acm.org/10.1145/2398776.2398808,imc,2012,Yes,"The data we consider in our initial evaluation were collected from servers located in 15 metro areas over a period of 15 weeks from February 21, 2011 through June 5, 2011. ",No,\,Data,p301-sommers.pdf
Network performance of smart mobile handhelds in a university campus WiFi network.,http://doi.acm.org/10.1145/2398776.2398809,imc,2012,No,\,Yes,"We have collected two data sets. One data set is for three days, from 9am March 2 to 9am March 5, 2011. The other data set is for one day, from 9am April 23 to 9am April 24, 2012. ",Data,p315-chen.pdf
Tackling bufferbloat in 3G/4G networks.,http://doi.acm.org/10.1145/2398776.2398810,imc,2012,No,\,Yes,a whole day with a one-minute interval between each run. That results in more than 300 samples for each experiment based on which we calculate the average and the confidence interval. ,Data,p329-jiang.pdf
Breaking for commercials: characterizing mobile advertising.,http://doi.acm.org/10.1145/2398776.2398812,imc,2012,Yes,"top 10 most popular free apps on Google Play|In this section we characterize ad traffic leveraging on a data set containing 1.7 billion traffic connections, which corresponds to 22TB of volume downloaded on 13th Aug. 2011 by more than 3 million subscribers of a major European mobile network.",No,\,Data,p343-vallinarodriguez.pdf
Screen-off traffic characterization and optimization in 3G/4G networks.,http://doi.acm.org/10.1145/2398776.2398813,imc,2012,Yes,The UMICH data set [9] totals 118 GB and consists of five- month (05/12/2011 _ 10/12/2011) data (both cellular and WiFi) from 20 volunteers who used smartphones running Android 2.2. ,No,\,Data,p357-huang.pdf
Configuring DHCP leases in the smartphone era.,http://doi.acm.org/10.1145/2398776.2398814,imc,2012,No,\,Yes,"We capture packet traces from two large wireless local area networks, one from a corporate office network and one from an educational campus network. Table 1 summarizes the two traces, including their static lease policies. ",Data,p365-papapanagiotou.pdf
Classifying internet one-way traffic.,http://doi.acm.org/10.1145/2398776.2398781,imc,2012,Yes,We use data from a regional academic backbone network that serves 46 single-homed universities and research insti- tutes ,Yes,We built a monitoring setup and collected packet traces at the Internet gateway of the Swiss university Hochschule fu _r Technik Rapperswil ,Data,p37-glatz.pdf
"Video telephony for end-consumers: measurement study of Google+, iChat, and Skype.",http://doi.acm.org/10.1145/2398776.2398816,imc,2012,No,\,Yes,"In our Wireshark trace analysis, we capture those TCP and UDP sessions, whose durations are long enough (at least half of the conference ses- sion time) and data rates are significant ",Data,p371-xu.pdf
Range tomography: combining the practicality of boolean tomography with the resolution of analog tomography.,http://doi.acm.org/10.1145/2398776.2398817,imc,2012,No,\,No,\,Non-data,p385-zarifzadeh.pdf
On traffic matrix completion in the internet.,http://doi.acm.org/10.1145/2398776.2398818,imc,2012,Yes,"Our data consists of a snapshot of all active BGP paths in use by 376 ASes (monitors), taken at midnight UTC on August 6th, 2010. ",No,\,Data,p399-gursun.pdf
DNS to the rescue: discerning content and services in a tangled web.,http://doi.acm.org/10.1145/2398776.2398819,imc,2012,Yes,All our datasets are collected at the Points-of-Presence (PoP) of large ISPs where the end customers are connected to the Internet. ,No,\,Data,p413-bermudez.pdf
Taster's choice: a comparative analysis of spam feeds.,http://doi.acm.org/10.1145/2398776.2398821,imc,2012,Yes,"In this work we compare ten distinct sources of spam data (which we call feeds), ranging in their level of detail from full e-mail content to only domain names of URLs in messages. ",No,\,Data,p427-pitsillidis.pdf
Crime scene investigation: SMS spam data analysis.,http://doi.acm.org/10.1145/2398776.2398822,imc,2012,Yes,The analysis presented in this paper is based on traffic data provided by a tier-1 cellular operator in the United States.|The spammer data set is obtained as follows|The legitimate account data set ,No,\,Data,p441-murynets.pdf
Longtime behavior of harvesting spam bots.,http://doi.acm.org/10.1145/2398776.2398823,imc,2012,Yes,"web site operators provided us with complete access logs since January 2010. |In contrast to [24] and [25], our spam body consists of 620,000 spam e-mails and is larger by magnitudes.|We query the IP based spam blacklist provided by Project Honeypot for each page request to our monitored sites at the time of the visit. Blacklist data has been collected over a period of 13 months since July 2011 and aims to evaluate the efficiency of blacklisting for blocking harvester bots.",No,\,Data,p453-hohlfeld.pdf
Observing common spam in Twitter and email.,http://doi.acm.org/10.1145/2398776.2398824,imc,2012,Yes,"To compare spam in tweets and email, we start with two sets of public messages, Twitter and Yahoo, both collected in March 2011. |We check the domains in our data sets against several public URL blacklists in the first week of May 2011. URIBL and SURBL are DNS-based blacklists with domain names found in the body of spam emails, but generally not in legitimate emails. PhishTank lists phishing URLs voted by users. To detect malware, we use the list published by malwaredomains.com. Finally, for both malware and phishing domains, we use the Google Safebrowsing API to check against Googleês constantly up- dated blacklists.|we use data from the spamtrap set up by Ramachandran and Feam- ster|Alexa top 10,000 |we use DNS lookup information collected by Verisign.",No,\,Data,p461-lumezanu.pdf
Beyond friendship: modeling user activity graphs on social network-based gifting applications.,http://doi.acm.org/10.1145/2398776.2398826,imc,2012,Yes,"our review (using Developer Analyt- ics [27]) in January 2012 showed that 74.4% of the top 250 Facebook applications by MAU were Flash or text-based gaming applications, while 9.43% were gifting applications, followed by other smaller genres of applications. ",Yes,Our user activity traces capture 2.2 billion activities. |Our user activity traces capture 2.2 billion activities.|Our user activity traces for Hugged capture 1.6 billion user activities.,Data,p467-nazir.pdf
Inside dropbox: understanding personal cloud storage services.,http://doi.acm.org/10.1145/2398776.2398827,imc,2012,Yes,"We installed Tstat at 4 vantage points in 2 European coun- tries and collected data from March 24, 2012 to May 5, 2012. ",No,\,Data,p481-drago.pdf
Reducing allocation errors in network testbeds.,http://doi.acm.org/10.1145/2398776.2398828,imc,2012,Yes,We analyze eight years of data about DeterLabês operation col- lected from its inception in February 2004 until February 2012. ,No,\,Data,p495-mirkovic.pdf
Sharing the cost of backbone networks: cui bono?,http://doi.acm.org/10.1145/2398776.2398830,imc,2012,Yes,"We use several datasets from a tier-1 backbone network, which interconnects with other ISPs that it serves. ",No,\,Data,p509-gyarmati.pdf
RasterZip: compressing network monitoring data with support for partial decompression.,http://doi.acm.org/10.1145/2398776.2398783,imc,2012,No,Six days of NetFlow traces of access traffic from a large |A two month NetFlow trace of internal and external,No,\,Non-data,p51-fusco.pdf
"Content delivery and the natural evolution of DNS: remote dns trends, performance issues and alternative solutions.",http://doi.acm.org/10.1145/2398776.2398831,imc,2012,Yes,"top 1,000 sites |We base our analyses on data contributed by 10,923 end hosts distributed across 99 countries and 752 ASes, providing a diverse set of vantage points.",No,\,Data,p523-otto.pdf
"Measuring the deployment of IPv6: topology, routing and performance.",http://doi.acm.org/10.1145/2398776.2398832,imc,2012,Yes,"We use a variety of data sources and analysis methods, ",No,\,Data,p537-dhamdhere.pdf
Measuring the impact of the copyright amendment act on New Zealand residential DSL users.,http://doi.acm.org/10.1145/2398776.2398833,imc,2012,Yes,Packet traces that were captured using a passive monitor placed within the core network of a New Zealand ISP were used for this study.,No,\,Data,p551-alcock.pdf
Wire-speed statistical classification of network traffic on commodity hardware.,http://doi.acm.org/10.1145/2398776.2398784,imc,2012,Yes,Real traffic consists of a packet-level trace sniffed in 2009 ,No,\,Data,p65-santiago.pdf
Fathom: a browser-based network measurement platform.,http://doi.acm.org/10.1145/2398776.2398786,imc,2012,No,\,No,\,Non-data,p73-dhawan.pdf
Mitigating sampling error when measuring internet client IPv6 capabilities.,http://doi.acm.org/10.1145/2398776.2398787,imc,2012,No,\,Yes,We use the data collected between 16th of May 2011 and 19th of February 2012 ,Data,p87-zander.pdf
Search + Seizure: The Effectiveness of Interventions on SEO Campaigns,http://conferences2.sigcomm.org/imc/2014/papers/p359.pdf,IMC (Internet Measurement Conference),2014,No,\,Yes,"Using eight months of empirical crawled data, we identify 52 distinct SEO campaigns| we were able to periodically collect AWStats data for 647 storefronts|In the PSR data set, we found 68,193 ",Data,p359.pdf
Detecting Malicious Activity with DNS Backscatter,http://conferences.sigcomm.org/imc/2015/papers/p197.pdf,IMC on Internet Measurements,2015,Yes,This paper uses DNS datasets from three authorities|we have data from all seven of their anycast sites|We also use data for M-Root| we draw on 9 months of data taken at the M-Root server,No,\,Data,p197.pdf
The MALICIA Dataset: Identification and Analysis of Drive-by Download Operations.,https://lirias.kuleuven.be/bitstream/123456789/464045/1/malicia_dataset.pdf,International Journal of Information Security,2015,No,\,Yes,we have built an infrastructure to track individual exploit servers over time|We receive feeds of drive-by download URLs,Data,malicia_dataset.pdf
Friendship and mobility: User movement in location-based social networks.,http://cs.stanford.edu/people/jure/pubs/mobile-kdd11.pdf,KDD,2011,No,\,Yes,We use three different datasets that capture human mobility|We col- lected all the public check-in data between|we also include a dataset of cell phone location trace data,Data,mobile-kdd11.pdf
The Internet Motion Sensor: A Distributed Blackhole Monitoring System,http://web.eecs.umich.edu/~farnam/pubs/2005-bc-ndss.pdf,ndss,2005,Yes,"In this one-week period of measurement, the IMS system",No,\,Data,2005-bc-ndss.pdf
Predicting Users___ Motivations behind Location Check-Ins and Utility Implications of Privacy Protection Mechanisms,http://www.shokri.org/files/Shokri-NDSS2015.pdf,ndss,2015,No,\,Yes,"to grant us access to their Foursquare data, we rewarded them with a fixed amount of money (US $4.5 per HIT [2], [22]). ",Data,Shokri-NDSS2015.pdf
Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,Yes,Data set from PREDICT USA|Data  set  from  CAIDA  USA,Yes,Data set from our experiment in which a PCAP file,Data,SAM3798.pdf
Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,millions of daily global samples|10 million IPs probed daily|The number of IPv4 prefix allocations grows from roughly 300 per month at the begin-,No,"In the past several years, we typically find more than 300 prefixes allocated per month|we find nearly 69K IPv4 prefix allocations at|",Data,sigcomm14_ipv6.pdf
All Your IFCException Are Belong to Us.,http://dx.doi.org/10.1109/SP.2013.10,sp,2013,No,\,No,\,Non-data,06547098.pdf
"Declarative, Temporal, and Practical Programming with Capabilities.",http://dx.doi.org/10.1109/SP.2013.11,sp,2013,No,\,No,\,Non-data,06547099.pdf
Towards Practical Reactive Security Audit Using Extended Static Checkers.,http://dx.doi.org/10.1109/SP.2013.12,sp,2013,Yes,The properties were derived by studying a set of security vulnerabilities reported in a set of recent MSRC bulletins ,Yes,We identified around 70 vulnerabilities in critical software components,Data,06547100.pdf
SoK: Eternal War in Memory.,http://dx.doi.org/10.1109/SP.2013.13,sp,2013,No,\,No,\,Non-data,06547101.pdf
The Parrot Is Dead: Observing Unobservable Network Communications.,http://dx.doi.org/10.1109/SP.2013.14,sp,2013,No,\,No,\,Non-data,06547102.pdf
"Trawling for Tor Hidden Services: Detection, Measurement, Deanonymization.",http://dx.doi.org/10.1109/SP.2013.15,sp,2013,No,\,Yes,At the end of the experiment we collected 39824 unique onion addresses.|We also fetched the descriptors from the memory of running Tor instances and obtained 58389 descriptors in total,Data,06547103.pdf
