Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813668,CCS,2015,No,Existing,CCSS Forum certificate blacklist,Yes,No,http://www.ccssforum.org/,Research,Attacker Related,Attacks,,9
Muwei,MalGene: Automatic Extraction of Malware Analysis Evasion Signature,http://dl.acm.org/citation.cfm?doid=2810103.2813642,CCS,2015,No,Existing,"For the evaluation of our system, we re- ceived 3,107 evasive samples identified by the BareCloud",No,No,previous paper BareCloud: Bare-metal Analysis-based Evasive Malware Detection,Research,Attacker Related,Attacks,,18
Muwei,Drops for Stuff: An Analysis of Reshipping Mule Scams,http://dl.acm.org/citation.cfm?doid=2810103.2813620,CCS,2015,Yes,Existing,"During this time we obtained a comprehensive and detailed dataset on seven reshipping scam websites and their operations, spanning from 2010 to 2015",No,No,/,Industry,Attacker Related,Cybercrime Infrastructure,,4
Muwei,Android Root and its Providers: A Double-Edged Sword,https://dl.acm.org/citation.cfm?id=2813714,CCS,2015,No,Existing,Exploit DB database,Yes,No,https://exploit-db.com/,Industry,Attacker Related,Exploits,,15
Muwei,Android Root and its Providers: A Double-Edged Sword,https://dl.acm.org/citation.cfm?id=2813714,CCS,2015,No,Existing,It's Bugs All the Way Down,Yes,No,http://vulnfactory.org/,Research,Attacker Related,Exploits,,15
Muwei,VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,http://dl.acm.org/citation.cfm?doid=2810103.2813605,CCS,2015,No,Existing,CVE database,Yes,No,https://cve.mitre.org,Industry,Attacker Related,Vulnerabilities,,13
Muwei,Android Root and its Providers: A Double-Edged Sword,http://dl.acm.org/citation.cfm?doid=2810103.2813714,CCS,2015,No,Existing,CVE database,Yes,No,https://cve.mitre.org,Research,Attacker Related,Vulnerabilities,,15
Muwei,Android Root and its Providers: A Double-Edged Sword,https://dl.acm.org/citation.cfm?id=2813714,CCS,2015,No,Existing,Android Vulnerabilities,Yes,No,http://androidvulnerabilities.org/all.html,Research,Attacker Related,Vulnerabilities,,15
Muwei,Maneuvering Around Clouds: Bypassing Cloud-based Security Providers,http://dl.acm.org/citation.cfm?doid=2810103.2813633,CCS,2015,No,Existing,"we made use of the publicly available data of Rapid7恄s Project Sonar [42]. This project uses ZMAP [14] to periodically conduct scans of the entire IPv4 address range in search for, among other things, SSL certificates.",Yes,No,https://sonar.labs.rapid7.com,Industry,Defender Artifacts,Configurations,,15
Muwei,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,http://dl.acm.org/citation.cfm?doid=2810103.2813625,CCS,2015,No,Existing,Alexa Top 10K domain list,No,No,/,Research,Macro-level Internet Characteristics,Applications,,5
Muwei,The SICILIAN Defense: Signature-based Whitelisting of Web JavaScript,http://dl.acm.org/citation.cfm?doid=2810103.2813710,CCS,2015,No,Existing,Alexa Top 500 Websites,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,5
Muwei,Observing and Preventing Leakage in MapReduce,http://dl.acm.org/citation.cfm?doid=2810103.2813695,CCS,2015,No,Existing,U.S. 1990 Census Sample,Yes,No,https://archive.ics.uci.edu/ml/datasets.html,Government,Users & Organizations Characteristics,User Offline Characteristics,,17
Muwei,Observing and Preventing Leakage in MapReduce,http://dl.acm.org/citation.cfm?doid=2810103.2813695,CCS,2015,No,Existing,New York 2013 Taxi Rides,Yes,No,http://www.andresmh.com/nyctaxitrips/,Industry,Users & Organizations Characteristics,User Offline Characteristics,,17
Muwei,Inference Attacks on Property-Preserving Encrypted Databases,https://cs.brown.edu/~seny/pubs/edb.pdf,CCS,2015,No,Existing,"Texas Inpatient Public Use Data File (PUDF), which is provided by the Texas Department of State Health Services",Yes,No,http://www.dshs.texas.gov/THCIC/Hospitals/Download.shtm,Government,Users & Organizations Characteristics,User Offline Characteristics,studying attacks,90
Muwei,Inference Attacks on Property-Preserving Encrypted Databases,https://cs.brown.edu/~seny/pubs/edb.pdf,CCS,2015,No,Existing,2004 HCUP/NIS database,Yes,No,www.hcup- us.ahrq.gov/databases.jsp,Government,Users & Organizations Characteristics,User Offline Characteristics,studying attacks,90
Muwei,Inference Attacks on Property-Preserving Encrypted Databases,https://cs.brown.edu/~seny/pubs/edb.pdf,CCS,2015,No,Existing,Statewide Plan- ning and Research Cooperative System (SPARCS) Inpatient data from the state of New York,Yes,No,https://health.data.ny.gov/Health/Hospital- Inpatient- Discharges- SPARCS- De- Identified/u4ud- w55t,Industry,Users & Organizations Characteristics,User Opinions,studying attacks,90
Hannah,Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,CCS,2016,No,Existing,"1,591 service interfaces of Android 5.1.0",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,2
Hannah,Remote Detection of Bottleneck Links Using Spectral and Statistical Methods,https://www.isi.edu/~johnh/PAPERS/He09a.pdf,Computer Networks V 53 (N. 3),2009,No,Create Primary,". We use Iperf (Tirumala et al., 2003) togenerate TCP and UDP packet streams, which mimic TCPfile downloads or UDP CBR (Constant-Bit-Rate) traffic.Each experiment lasts for 30 seconds",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,25
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Create Derivative,we found about 29K rental scam postings on Craigslist across 20 major cities in 141 days,No,No,/,Research,Attacker Related,Attacks,,0
Muwei,Failures of Security APIs: A New Case,https://doi.org/10.1007/978-3-662-54970-4_17,FC,2016,No,Create Derivative,"By sending a sequence of numbers starting from 1 to 72154, we manage to fetch 66,111 unique characters/radicals from the server",No,No,/,Industry,Defender Artifacts,Configurations,,1
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Create Primary,Our primary data set is based on listings collected from daily crawls of rental sec- tions on Craigslist across 20 di乢恄erent cities and areas in the United States with the largest population,No,No,/,Research,Macro-level Internet Characteristics,Applications,,0
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Existing,Ripoff Report,Yes,No,http://www.ripoffreport.com/,Industry,Attacker Related,Attacks,,0
Muwei,DroydSeuss: A Mobile Banking Trojan Tracker - Short Paper,https://doi.org/10.1007/978-3-662-54970-4_14,FC,2016,No,Existing,"For the purpose of this evaluation we used 4,293 samples of banking trojans, downloaded nightly through the VirusTotal Intelligence API",Yes,No,https://www.virustotal.com/#/home/upload,Industry,Attacker Related,Attacks,,1
Muwei,Factoring as a Service,https://doi.org/10.1007/978-3-662-54970-4_19,FC,2016,No,Existing,Rapid7,Yes,No,Scans.io,Industry,Defender Artifacts,Configurations,,15
Muwei,Graph Analytics for Real-time Scoring of Cross-channel Transactional Fraud,https://doi.org/10.1007/978-3-662-54970-4_2,FC,2016,No,Existing,"The data set that we use is proprietary to ABN AMRO and combines incom- ing and outgoing transactions from di乢恄erent channels: online banking, point of sale, ATM , mobile banking, and person-to-person payments during the period June 1, 2012 through Aug. 30, 2012.",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,0
Muwei,Graph Analytics for Real-time Scoring of Cross-channel Transactional Fraud,https://doi.org/10.1007/978-3-662-54970-4_2,FC,2016,No,Existing,"The only large public data set is the Bitcoin [21] blockchain, currently having 420 million transactions and about 85 million Bitcoin addresses which can be seen as accounts.",Yes,No,bitcoin blockchain,Industry,Macro-level Internet Characteristics,Applications,,0
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Existing,Craigslist-flagged ads,Yes,No,http://www1.reportcraigslistscams.com/?kw=craigs%20list%20scams,Industry,Macro-level Internet Characteristics,Applications,,0
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Existing,800notes,Yes,No,http://800notes.com/,Industry,Macro-level Internet Characteristics,Applications,,0
Muwei,DroydSeuss: A Mobile Banking Trojan Tracker - Short Paper,https://doi.org/10.1007/978-3-662-54970-4_14,FC,2016,No,Existing,Alexa Top 1M domain list,Yes,No,http://s3.amazonaws.com/alexa-static/top-1m.csv.zip,Industry,Macro-level Internet Characteristics,Applications,,1
Muwei,CuriousDroid: Automated User Interface Interaction for Android Application Analysis Sandboxes,https://doi.org/10.1007/978-3-662-54970-4_13,FC,2016,No,Existing,"Our evaluation was performed over a data set of 51,571 randomly selected An- droid applications from five categories:",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,5
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Existing,DB-IP,Yes,No,http://db-ip.com/,Industry,Macro-level Internet Characteristics,Topology,,0
Muwei,Understanding Craigslist Rental Scams.,https://doi.org/10.1007/978-3-662-54970-4_1,FC,2016,No,Existing,United States Census Bureau,Yes,No,http://www.census.gov/,Industry,Users & Organizations Characteristics,User Offline Characteristics,,0
Hannah,Internet Background Radiation Revisited,https://www.merit.edu/wp-content/uploads/2016/01/Internet_Background_Radiation.pdf,IMC,2010,Yes,Create Primary,Longitudinal Darknet 35/8,Public,DS-242,https://www.impactcybertrust.org/dataset_view?idDataset=242,Research,Macro-level Internet Characteristics,Network Traces,,112
Hannah,Towards Geolocation of Millions of IP Addresses,http://www.isi.edu/~johnh/PAPERS/Hu12a.pdf,IMC,2012,Yes,Create Primary,"As of August 2012, we have geolocated 78 /8s, about 35%of the allocated, unicast, IPv4 address-space.",Public,DS-336,https://www.impactcybertrust.org/dataset_view?idDataset=336,Research,Macro-level Internet Characteristics,Network Traces,,26
Hannah,Analysis of a _岩/0_褲 Stealth Scan from a Botnet,https://www.caida.org/publications/papers/2012/analysis_slash_zero/analysis_slash_zero.pdf,IMC,2012,Yes,Existing,"UCSD Telescope Sipscan dataset",Public,DS-733,https://www.impactcybertrust.org/dataset_view?idDataset=733,Research,Attacker Related,Attacks,,0
Hannah,Taming the 800 Pound Gorilla: The Rise and Decline of NTP DDoS Attacks,http://conferences.sigcomm.org/imc/2014/papers/p435.pdf,IMC,2014,Yes,Existing,FRGPNTPFlowData-20131201,Public,DS-478,https://www.impactcybertrust.org/dataset_view?idDataset=478,Research,Macro-level Internet Characteristics,Network Traces,,61
Hannah,bdrmap: Inference of Borders Between IP Networks,http://www.caida.org/publications/papers/2016/bdrmap/bdrmap.pdf,IMC,2016,Yes,Existing,Border mapping dataset,Public,DS-732,https://www.impactcybertrust.org/dataset_view?idDataset=732,Research,Macro-level Internet Characteristics,Topology,,1
Hannah,Anycast vs. DDoS: Evaluating the November 2015 Root DNS Event (extended),http://www.isi.edu/%7ejohnh/PAPERS/Moura16a.pdf,IMC,2016,Yes,Existing,Root_DNS_Event-20151130,Public,DS-655,https://www.impactcybertrust.org/dataset_view?idDataset=655,Research,Macro-level Internet Characteristics,Topology,,10
Hannah,Detection of Low-Rate Attacks in Computer Networks,http://www.isi.edu/~johnh/PAPERS/Thatte08a.pdf,IEEE Global Internet Symposium 2008,2008,Yes,Existing,Real Internet traces,Public,DS-049,/,Industry,Macro-level Internet Characteristics,Network Traces,,21
Hannah,A Cognitive Multifractal Approach to Characterize Complexity of Non-Stationary and Malicious DNS Data Traffic Using Adaptive Sliding Window ,https://www.computer.org/csdl/proceedings/icci*cc/2015/7290/00/07259368.pdf,IEEE on Congnitive Computing,2015,No,Existing,PREDICT ID USC-Lander! DoS_DNS_amplification-20130617 ,Public,PREDICT ID USC-Lander,/,Industry,Attacker Related,Attacks,,2
Muwei,Dissecting Android Malware: Characterization and Evolution.,http://nieh.net/teaching/e6998/papers/OAKLAND12.pdf,SP,2012,No,Create Derivative,"We obtain the list by carefully examining the related security announcements, threat reports, and blog contents from existing mobile anti- virus companies and active researchers, Our dataset has 1260 samples",No,No,/,Research,Attacker Related,Attacks,,1385
Hannah,The Blaster Worm: Then and Now,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1492337,SP,2005,Yes,Existing,"IMS data of Blaster in August 2003 and 2004This monitor is itself part of the Inter-net Motion Sensor (IMS; http://ims.eecs.umich.edu), anetwork of distributed blackhole sensors that monitorblocks of unused address space. ",No,No,/,Research,Attacker Related,Attacks,,146
Muwei,Taster_燺s Choice: A Comparative Analysis of Spam Feeds,,IMC,2012,No,Create Derivative,"In this work we compare ten distinct sources of spam data (which we call feeds), ranging in their level of detail from full e-mail content to only domain names of URLs in messages. Of these ten feeds, we collected mx1 and Bot directly.",No,No,their own dataset from paper 'Click Trajectories: End-to-End Analysis of the Spam Value Chain',Research,Attacker Related,Attacks,,32
Muwei,Classifying Internet One-way Traffic,,IMC,2012,No,Create Derivative,one-way traffic database,No,No,/,Research,Macro-level Internet Characteristics,Adverse Events,Build a classfier to classify one-way traffic,53
Muwei,Breaking for Commercials: Characterizing Mobile Advertising,,IMC,2012,No,Create Derivative,"The combination of the four processes, mentioned above, helped us obtain a set of 122 rules featuring regular expressions that are able to parse a URL and classify traffic as i) ad network, ii) ana- lytics, iii) mediation service, or iv) other.",No,No,/,Research,Macro-level Internet Characteristics,Applications,Produce?,121
Hannah,Revealing Middlebox Interference with Tracebox,http://conferences.sigcomm.org/imc/2013/papers/imc032s-detalA.pdf,IMC,2013,No,Create Derivative,"deployed tracebox on PlanetLab, using 72 machines as vantage points (VPs). Each VP had a target list of 5,000 items build with the top 5,000 Alexa web sites which identified middleboxes",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,72
Muwei,Longtime Behavior of Harvesting Spam Bots,,IMC,2012,No,Create Primary,"we embedded more than 23 mil- lion unique spamtrap addresses in web pages. 0.5% of the embedded trap addresses received a total of 620,000 spam messages.",No,No,/,Research,Defender Artifacts,Alerts,,12
Muwei,Detecting Prefix Hijackings in the Internet with Argus,,IMC,2012,No,Create Primary,"Argus has been continuously monitoring the Internet for one year, starting from May 2, 2011. During this period, 40K anomalous route events were reported 7, and 220 sta- ble hijackings were identified.",No,No,/,Research,Defender Artifacts,Alerts,,66
Muwei,Revisiting Broadband Performance,,IMC,2012,No,Create Primary,"The data we use in this study were collected from Speedtest servers located in 59 metro areas over a period of six months from June 1, 2011 through November 30, 2011.",No,No,/,Industry,Macro-level Internet Characteristics,Benchmarks,,34
Muwei,Mitigating Sampling Error when Measuring Internet Client IPv6 Capabilities,,IMC,2012,No,Create Primary,We use the data collected between 16th of May 2011 and 19th of February 2012 ,No,No,/,Research,Macro-level Internet Characteristics,Benchmarks,Experiment set up,36
Muwei,Obtaining In-Context Measurements of Cellular Network Performance,,IMC,2012,No,Create Primary,Our context3 and activity datasets consist of latency and throughput measurements gathered using servers and devices under our control.,Yes,No,http: //cs.wisc.edu/~agember/go/imc2012dataset,Research,Macro-level Internet Characteristics,Benchmarks,,64
Muwei,Cell vs. WiFi: On the Performance of Metro Area Mobile Connections,,IMC,2012,No,Create Primary,"The data we consider in our initial evaluation were collected from servers located in 15 metro areas over a period of 15 weeks from February 21, 2011 through June 5, 2011",No,No,/,Research,Macro-level Internet Characteristics,Benchmarks,,124
Muwei,Tackling Bufferbloat in 3G/4G Networks,,IMC,2012,No,Create Primary,We develop some simple applications on the client side to download data from the server with different traffic patterns. Most experiments have been repeated numerous times for a whole day with a one-minute interval between each run. That results in more than 300 samples for each experiment based on which we calculate the average and the confidence interval. we conducted extensive measure- ment of the 3G/4G networks of the four major U.S. carriers and the largest carrier in Korea.,No,No,/,Research,Macro-level Internet Characteristics,Benchmarks,,132
Hannah,Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,Create Primary,single week of IPv4 background radiation capture,No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,18
Hannah,Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,Create Primary,network probes of prefixes for four servers to find different types of packets,No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,18
Muwei,Configuring DHCP Leases in the Smartphone Era,,IMC,2012,No,Create Primary,"We capture packet traces from two large wireless local area networks, one from a corporate office network and one from an educational campus network.",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,21
Muwei,Quantifying Violations of Destination-based Forwarding on the Internet,,IMC,2012,No,Create Primary,"we recorded more than 260,000 traces using 179 PlanetLab sites, 65 of which do not filter source-spoofed packets",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,22
Muwei,Can you GET Me Now? Estimating the Time-to-First-Byte of HTTP Transactions with Passive Measurements,,IMC,2012,No,Create Primary,"To validate the estimation of TTFB on real traffic, we collect two packet traces at Gn links of a major U.S. cellu- lar carrier",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,25
Muwei,Network Performance of Smart Mobile Handhelds in a University Campus WiFi Network,,IMC,2012,No,Create Primary,"We have collected two data sets. One data set is for three days, from 9am March 2 to 9am March 5, 2011. The other data set is for one day, from 9am April 23 to 9am April 24, 2012. We collect measurements at a monitoring point inside the University of Connecticut (UConn). The monitor is a com- modity PC, equipped with a DAG card",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,52
Muwei,Classifying Internet One-way Traffic,,IMC,2012,No,Create Primary,We built a monitoring setup and collected packet traces at the Internet gateway of the Swiss university Hochschule fu 恄r Technik Rapperswil,No,No,,Research,Macro-level Internet Characteristics,Network Traces,,53
Muwei,"Video Telephony for End-consumers: Measurement Study of Google+, iChat, and Skype",,IMC,2012,No,Create Primary,"In our Wireshark trace analysis, we capture those TCP and UDP sessions, whose durations are long enough (at least half of the conference ses- sion time) and data rates are significant",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,111
Hannah,Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,Create Primary,BGP announcements across /12 IPv6 block from 5 RIRs (from /13 and /14 from RIPE NCC),No,No,/,Research,Macro-level Internet Characteristics,Topology,,18
Muwei,On Traffic Matrix Completion in the Internet,,IMC,2012,No,Create Primary,"Our data consists of a snapshot of all active BGP paths in use by 376 ASes (monitors), taken at midnight UTC on August 6th, 2010. The dataset consists of over 100 million AS paths, and contains 524,761 unique pre- fixes.",No,No,/,Research,Macro-level Internet Characteristics,Topology,,14
Muwei,Towards Geolocation of Millions of IP Addresses,,IMC,2012,Yes,Create Primary,"we have geolocated 78 /8s, about 35% of the allocated, unicast, IPv4 address-space",No,No,/,Research,Macro-level Internet Characteristics,Topology,vantage point??,26
Muwei,Multi-scale Dynamics in a Massive Online Social Network,,IMC,2012,No,Create Primary,Regular Network/Behavior Data,No,No,/,Research,Users & Organizations Characteristics,User Activities,,54
Muwei,New Kid on the Block: Exploring the Google+ Social Graph,,IMC,2012,No,Create Primary,"We used a total of 11 machines with different IP addresses to efficiently gather large amount of data. The profile information was retrieved by making HTTP re- quests to publicly available user profile pages. In total we crawled 27,556,390 profile pages, collecting public user information and its circles lists.",Yes,No,http://gplus. camps.dcc.ufmg.br.,Research,Users & Organizations Characteristics,User Information,,69
Muwei,Evolution of a Location-based Online Social Network: Analysis and Models,,IMC,2012,No,Create Primary,"we have downloaded daily snapshots of Gowalla data between May, 4thand August, 19th2010",No,No,/,Research,Users & Organizations Characteristics,User Information,,76
Muwei,"Evolution of Social-Attribute Networks: Measurements, Modeling, and Implications using Google+",,IMC,2012,No,Create Primary,we began to crawl daily snapshots of pub- lic Google+ social network structure and user profiles;,No,No,/,Research,Users & Organizations Characteristics,User Information,,137
Muwei,Video Stream Quality Impacts Viewer Behavior: Inferring Causality Using Quasi-Experimental Designs,,IMC,2012,No,Create Primary,"The data sets that we use for our analysis are collected from a large cross section of actual users around the world who play videos using media players that incorporate the widely-deployed Akamai_燺s client-side media analytics plug in. We tracked the viewers and views for the chosen content providers for a period of 10 days. Our data set is extensive and captures 23 million views from 6.7 million unique viewers, where each viewer on average made 3.42 visits over the period and viewed a total of 32.2 minutes of video.",No,No,/,Research,Users & Organizations Characteristics,User Opinions,,325
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Derivative, evaluation of interfaces using their product to identify aliases,No,No,/,Research,Macro-level Internet Characteristics,Applications,,13
Hannah,A Fistful of Bitcoins: Characterizing Payments Among Men with No Names,http://conferences.sigcomm.org/imc/2013/papers/imc182-meiklejohnA.pdf,IMC,2013,No,Create Derivative,supplementary info from the forum bitcointalk,No,No,"bitcointalk.org",Industry,Macro-level Internet Characteristics,Applications,,257
Hannah,A Fistful of Bitcoins: Characterizing Payments Among Men with No Names,http://conferences.sigcomm.org/imc/2013/papers/imc182-meiklejohnA.pdf,IMC,2013,No,Create Derivative,supplementary info from the website blockchain,No,No,blockchain.info/tags,Industry,Macro-level Internet Characteristics,Applications,,257
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Derivative," validation of the aliases using RANCID,",Public,No,http://www.shrubbery.net/rancid/,Industry,Macro-level Internet Characteristics,Benchmarks,,13
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Derivative," validation of the aliases using STP-1,",Public,No,/,Industry,Macro-level Internet Characteristics,Benchmarks,,13
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Derivative, validation of the aliases using STP-2,Public,No,/,Industry,Macro-level Internet Characteristics,Benchmarks,,13
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Derivative, validation of the aliases using AP,Public,No,/,Industry,Macro-level Internet Characteristics,Benchmarks,,13
Hannah,A Fistful of Bitcoins: Characterizing Payments Among Men with No Names,http://conferences.sigcomm.org/imc/2013/papers/imc182-meiklejohnA.pdf,IMC,2013,No,Create Derivative,Engaged in transactions with random bitcoin users to gain their addresses,No,No,/,Research,Users & Organizations Characteristics,User Information,,257
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Create Primary,creation of a spam trap to collect spam,No,No,/,Research,Attacker Related,Attacks,,32
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Create Primary,"probe at a low rate of 20pps from a single VP, producing 26Kbps of traffic,",Public,No,/,Research,Macro-level Internet Characteristics,Benchmarks,,13
Hannah,Follow the Money,http://conferences.sigcomm.org/imc/2013/papers/imc184s-gillAemb.pdf,IMC,2013,No,Create Primary,"We  use  traces 4of  HTTP  traffic  in  multiple  networks  tostudy advertising in relation to information gathered fromthe users.",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,141
Hannah,Follow the Money,http://conferences.sigcomm.org/imc/2013/papers/imc184s-gillAemb.pdf,IMC,2013,No,Create Primary,Univ traffic,No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,141
Hannah,Follow the Money,http://conferences.sigcomm.org/imc/2013/papers/imc184s-gillAemb.pdf,IMC,2013,No,Create Primary,mHTTP traffic,No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,141
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Create Primary,"DNZA file captures Our data includes captures of the DNZA files as recordedevery five minutes, time periods we refer to asepochs",No,No,/,Research,Macro-level Internet Characteristics,Topology,,32
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Existing,SURBL (DNS blacklist),Public,No,/,Industry,Defender Artifacts,Alerts,,32
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Existing,URIBL (DNS blacklist),Public,No,/,Industry,Defender Artifacts,Alerts,,32
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Existing,Spamhaus DBL (DNS blacklist),Public,No,/,Industry,Defender Artifacts,Alerts,,32
Hannah,Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,Existing,Alexa top 1M domains,Public,No,"http://s3.amazonaws.com/alexa-static/top-1m.csv.zip",Industry,Macro-level Internet Characteristics,Applications,,18
Hannah,Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,No,Existing,WHOIS information,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,32
Hannah,Revealing Middlebox Interference with Tracebox,http://conferences.sigcomm.org/imc/2013/papers/imc032s-detalA.pdf,IMC,2013,No,Existing,"top 5,000 Alexa web sites",Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,72
Hannah,Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,Existing,"CAIDA_验s Archipelago (Ark) infrastructure for March 2013,  ",Public,No,http://www.caida.org/projects/ark/    ,Industry,Macro-level Internet Characteristics,Network Traces,,13
Muwei,Longtime Behavior of Harvesting Spam Bots,,IMC,2012,No,Existing,We query the IP based spam blacklist provided by Project Honeypot for each page request to our monitored sites at the time of the visit. Blacklist data has been collected over a period of 13 months since July 2011 and aims to evaluate the efficiency of blacklisting for blocking harvester bots.,Yes,No,https://www.projecthoneypot.org,Research,Attacker Related,Attacks,,12
Muwei,Taster_燺s Choice: A Comparative Analysis of Spam Feeds,,IMC,2012,No,Existing,We receive both blacklist feeds (dbl and uribl) by subscription.,Yes,No,/,Industry,Attacker Related,Attacks,,32
Muwei,Taster_燺s Choice: A Comparative Analysis of Spam Feeds,,IMC,2012,No,Existing,"Provider agreements preclude us from naming the remaining feeds (Ac1 , mx2 , Ac2 , mx3 , Hyb, Hu).",No,No,their own dataset from paper 'Click Trajectories: End-to-End Analysis of the Spam Value Chain',Research,Attacker Related,Attacks,,32
Muwei,Crime Scene Investigation: SMS Spam Data Analysis,,IMC,2012,No,Existing,The analysis presented in this paper is based on traffic data provided by a tier-1 cellular operator in the United States. The data sample contains Call Detail Records (CDR) of 9000 spammer accounts and almost 17000 legiti- mate accounts.,No,No,/,Research,Attacker Related,Attacks,,41
Muwei,Analysis of a _燺/0_牆 Stealth Scan from a Botnet,,IMC,2012,No,Existing,DShield is a constantly updated reposi- tory of scanning and attack reports. In particular it reports aggre- gated data of traffic observed on several _燺sensors_牆,Yes,No,,Research,Defender Artifacts,Alerts,,0
Muwei,Longtime Behavior of Harvesting Spam Bots,,IMC,2012,No,Existing,web site operators provided us with complete access logs since January 2010.,No,No,/,Industry,Macro-level Internet Characteristics,Applications,,12
Muwei,Watching Videos from Everywhere: A Study of the PPTV Mobile VoD System,,IMC,2012,No,Existing,Our dataset was collected from the log servers of PPTV,No,No,/,Research,Macro-level Internet Characteristics,Applications,,67
Muwei,Breaking for Commercials: Characterizing Mobile Advertising,,IMC,2012,No,Existing,"In this section we characterize ad traffic leveraging on a data set containing 1.7 billion traffic connections, which corresponds to 22TB of volume downloaded on 13th Aug. 2011 by more than 3 million subscribers of a major European mobile network.",No,No,/,Research,Macro-level Internet Characteristics,Applications,,121
