Name,URL,Conf.,Year,Used,Description,Produced,Description
When Governments Hack Opponents: A Look at Actors and Technology.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/marczak,uss,2014,\,\,\,\
X-Force: Force-Executing Binary Programs for Security Applications.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/peng,uss,2014,\,\,\,\
XRay: Enhancing the Web's Transparency with Differential Correlation.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/lecuyer,uss,2014,\,\,\,\
Zerocoin: Anonymous Distributed E-Cash from Bitcoin.,http://dx.doi.org/10.1109/SP.2013.34,sp,2013,\,\,\,\
ZÌ÷: An Optimizing Distributing Zero-Knowledge Compiler.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/fredrikson,uss,2014,\,\,\,\
On the Security and Performance of Proof of Work Blockchains,https://dl.acm.org/authorize.cfm?key=N14231,ccs,2016,No,\,No,\
A Secure Sharding Protocol For Open Blockchains,https://dl.acm.org/authorize.cfm?key=N14232,ccs,2016,No,\,No,\
The Honey Badger of BFT Protocols,https://dl.acm.org/authorize.cfm?key=N14233,ccs,2016,No,\,No,\
Differential Privacy as a Mutual Information Constraint,https://dl.acm.org/authorize.cfm?key=N14234,ccs,2016,No,\,No,\
Advanced Probabilistic Couplings for Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14245,ccs,2016,No,\,No,\
Differentially Private Bayesian Programming,https://dl.acm.org/authorize.cfm?key=N14246,ccs,2016,No,\,No,\
Strong Non-Interference and Type-Directed Higher-Order Masking,https://dl.acm.org/authorize.cfm?key=N14240,ccs,2016,No,\,No,\
Private Circuits III: Hardware Trojan-Resilience via Testing Amplification,https://dl.acm.org/authorize.cfm?key=N14242,ccs,2016,No,\,No,\
On the Instability of Bitcoin Without the Block Reward,https://dl.acm.org/authorize.cfm?key=N14243,ccs,2016,No,\,No,\
Transparency Overlays and Applications,https://dl.acm.org/authorize.cfm?key=N14244,ccs,2016,No,\,No,\
Mix&Slice: Efficient Access Revocation in the Cloud,https://dl.acm.org/authorize.cfm?key=N14358,ccs,2016,No,\,No,\
Safe Serializable Secure Scheduling: Transactions and the Trade-Off Between Security and Consistency,https://dl.acm.org/authorize.cfm?key=N14359,ccs,2016,No,\,No,\
Town Crier: An Authenticated Data Feed for Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14352,ccs,2016,No,\,No,\
The Ring of Gyges: Investigating the Future of Criminal Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14353,ccs,2016,No,\,No,\
Prefetch Side-Channel Attacks: Bypassing SMAP and Kernel ASLR,https://dl.acm.org/authorize.cfm?key=N14360,ccs,2016,No,\,No,\
Breaking Kernel Address Space Layout Randomization with Intel TSX,https://dl.acm.org/authorize.cfm?key=N14361,ccs,2016,No,\,No,\
Enforcing Least Privilege Memory Views for Multithreaded Applications,https://dl.acm.org/authorize.cfm?key=N14362,ccs,2016,No,\,No,\
Improvements to Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14363,ccs,2016,No,\,No,\
Amortizing Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14364,ccs,2016,No,\,No,\
Message-Recovery Attacks on Feistel-Based Format Preserving Encryption,https://dl.acm.org/authorize.cfm?key=N14376,ccs,2016,No,\,No,\
TypeSan: Practical Type Confusion Detection,https://dl.acm.org/authorize.cfm?key=N14372,ccs,2016,No,\,No,\
Alternative Implementations of Secure Real Numbers,https://dl.acm.org/authorize.cfm?key=N14385,ccs,2016,No,\,No,\
Garbling Gadgets for Boolean and Arithmetic Circuits,https://dl.acm.org/authorize.cfm?key=N14386,ccs,2016,No,\,No,\
Optimizing Semi-Honest Secure Multiparty Computation for the Internet,https://dl.acm.org/authorize.cfm?key=N14387,ccs,2016,No,\,No,\
MEMS Gyroscopes as Physical Unclonable Functions,https://dl.acm.org/authorize.cfm?key=N14388,ccs,2016,No,\,No,\
On the Security and Usability of Segment-based Visual Cryptographic Authentication Protocols,https://dl.acm.org/authorize.cfm?key=N14389,ccs,2016,No,\,No,\
Instant and Robust Authentication and Key Agreement among Mobile Devices,https://dl.acm.org/authorize.cfm?key=N14380,ccs,2016,No,\,No,\
Computational Soundness for Dalvik Bytecode,https://dl.acm.org/authorize.cfm?key=N14398,ccs,2016,No,\,No,\
SANA: Secure and Scalable Aggregate Network Attestation,https://dl.acm.org/authorize.cfm?key=N14399,ccs,2016,No,\,No,\
High-Throughput Semi-Honest Secure Three-Party Computation with an Honest Majority,https://dl.acm.org/authorize.cfm?key=N14305,ccs,2016,No,\,No,\
Efficient Batched Oblivious PRF with Applications to Private Set Intersection,https://dl.acm.org/authorize.cfm?key=N14306,ccs,2016,No,\,No,\
MASCOT: Faster Malicious Arithmetic Secure Computation with Oblivious Transfer,https://dl.acm.org/authorize.cfm?key=N14307,ccs,2016,No,\,No,\
"Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations",https://dl.acm.org/authorize.cfm?key=N14308,ccs,2016,No,\,No,\
Return-Oriented Flush-Reload Side Channels on ARM and Their Implications for Android Devices,https://dl.acm.org/authorize.cfm?key=N14309,ccs,2016,No,\,No,\
A Software Approach to Defeating Side Channels in Last-Level Caches,https://dl.acm.org/authorize.cfm?key=N14300,ccs,2016,No,\,No,\
iLock: Immediate and Automatic Locking of Mobile Devices against Data Theft,https://dl.acm.org/authorize.cfm?key=N14315,ccs,2016,No,\,No,\
Hypnoguard: Protecting Secrets across Sleep-wake Cycles,https://dl.acm.org/authorize.cfm?key=N14316,ccs,2016,No,\,No,\
5Gen: A Framework for Prototyping Applications Using Multilinear Maps and Matrix Branching Programs,https://dl.acm.org/authorize.cfm?key=N14317,ccs,2016,No,\,No,\
Functional Lattice Cryptography,https://dl.acm.org/authorize.cfm?key=N14318,ccs,2016,No,\,No,\
"Frodo: Take off the Ring! Practical, Quantum-Secure Key Exchange from LWE",https://dl.acm.org/authorize.cfm?key=N14319,ccs,2016,No,\,No,\
Error Handling of In-vehicle Networks Makes Them Vulnerable,https://dl.acm.org/authorize.cfm?key=N14312,ccs,2016,No,\,No,\
"Order-Revealing Encryption: New Constructions, Applications, and Lower Bounds",https://dl.acm.org/authorize.cfm?key=N14322,ccs,2016,No,\,No,\
MERS: Statistical Test Generation for Side-Channel Analysis based Trojan Detection,https://dl.acm.org/authorize.cfm?key=N14241,ccs,2016,No,\,No,\
ProvUSB: Block-level Provenance-Based Data Protection for USB Storage Devices,https://dl.acm.org/authorize.cfm?key=N14350,ccs,2016,No,\,No,\
Security by Any Other Name: On the Effectiveness of Provider Based Email Security,http://dl.acm.org/citation.cfm?doid=2810103.2813607,ccs,2015,No,\,Yes,"We found that while more than half of the top 20,000 receiving MTAs supported TLS, and support for TLS is increasing, servers do not check certificates, opening the Internet email system up to man-in-the-middle eavesdropping attacks"
AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,http://dl.acm.org/citation.cfm?doid=2810103.2813689,ccs,2015,No,\,Yes,"crawled a real-world dataset of 2,614,186 users, 12,783 apps and 13,129,783 reviews from Google play, and use it to comprehensively evaluate AUTOREB"
Exploiting Temporal Dynamics in Sybil Defenses,http://dl.acm.org/citation.cfm?doid=2810103.2813693,ccs,2015,No,\,Yes,analysis and simulation of these attacks using both synthetic and real-world social network topologies
Cross-Site Search Attacks,http://dl.acm.org/citation.cfm?doid=2810103.2813688,ccs,2015,No,\,Yes,"implemented and evaluated the attacks against the popular Gmail and Bing services, in several environments and ethical experiments, taking careful, IRB-approved measures to avoid exposure of personal information."
Have we Crossed the Line? The Growing Ethical Debate in,http://www.sigsac.org/ccs/CCS2009/pd/abstract_22.pdf,ccs,2009,No,\,No,\
Modern Computer Security Research,,,,,,,
AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems,https://dl.acm.org/authorize?N14357,ccs,2016,No,\,Yes,1060 errors acros 88 of the top 100 free applications in the Android application store caused by event and click forgery
"Build It, Break It, Fix It: Contesting Secure Development",https://dl.acm.org/authorize.cfm?key=N14396,ccs,2016,No,\,Yes,Information regarding the attendees of multiple contests 
Leave Your Phone at the Door: Side Channels that Reveal Factory Floor Secrets,https://dl.acm.org/authorize.cfm?key=N14301,ccs,2016,No,\,Yes,Sensor data produced on seven smartphones and one tablet
My Smartphone Knows What You Print: Exploring Smartphone-based Side-channel Attacks Against 3D Printers,https://dl.acm.org/authorize.cfm?key=N14302,ccs,2016,No,\,Yes,Sensor  data  collection  application  on Nexus 5 with Android OS 6.01
The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio,https://dl.acm.org/authorize.cfm?key=N14303,ccs,2016,No,\,Yes,General population statistics via an online survey to determine the phone usage habits and patterns relevant to attacks
UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,ccs,2016,No,\,Yes,"Discovered many previously unknown information leak vulnerabilities in the latest Linux and Android kernels, 19 of which have been confirmed by Linux maintainers and Google, conducted another study of kernel information leak vulnerabilities reported after 2013"
Using Reflexive Eye Movements for Fast Challenge-Response Authentication,https://dl.acm.org/authorize.cfm?key=N14313,ccs,2016,No,\,Yes,Series of systematic user experiments with 30 participants from the general public
When CSI Meets Public WiFi: Inferring Your Mobile Phone Password via WiFi Signals,https://dl.acm.org/authorize.cfm?key=N14314,ccs,2016,No,\,Yes,Study of ten volunteers and their touch screen usage related to entering passcodes
VoiceLive: A Phoneme Localization based Liveness Detection for Voice Authentication on Smartphones,https://dl.acm.org/authorize.cfm?key=N14325,ccs,2016,No,\,Yes,"Evaluation with 12 participants and different types of phones, vocal production of phonemes by two participants"
New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,ccs,2016,No,\,Yes,Vulnerabilities found and attacks based on those vulnerabilities crafted
Draco: A System for Uniform and Fine-grained Access Control for Web Code on Android,https://dl.acm.org/authorize.cfm?key=N14249,ccs,2016,No,\,No,\
Limiting the Impact of Stealthy Attacks on Industrial Control Systems,https://dl.acm.org/authorize.cfm?key=N14326,ccs,2016,Yes,Network data collected from an operational large-scale Supervisory Control and Data Acquisition (SCADA) system that manages more than 100 Programmable Logic Controllers,No,\
DPSense: Differentially Private Crowdsourced Spectrum Sensing,https://dl.acm.org/authorize.cfm?key=N14354,ccs,2016,Yes,"CRAWDAD dataset roma/taxi [2, 3] for our simu-",No,\
,,,,,"lations, extracting the traces from the center of Rome from that dataset",,
High Fidelity Data Reduction for Big Data Security Dependency Analyses,https://dl.acm.org/authorize.cfm?key=N14371,ccs,2016,Yes,Data logs collected from more than 30 machines with various server models and operating systems,No,\
How I Learned to be Secure: a Census-Representative Survey of Security Advice Sources and Behavior,https://dl.acm.org/authorize.cfm?key=N14384,ccs,2016,Yes,"U.S.-census-representative survey of 526 users, cognitive interviews with five demographically-diverse participants",No,\
Acing the IOC Game: Toward Automatic Discovery and Analysis of Open-Source Cyber Threat Intelligence,https://dl.acm.org/authorize.cfm?key=N14391,ccs,2016,Yes,"71,000 articles collected from 45 leading technical blogs",No,\
VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,http://dl.acm.org/citation.cfm?doid=2810103.2813604,ccs,2015,Yes,"1. To the best of our knowledge, no large-scale database exists that maps vulnerabilities as reported by CVEs to commits. Meneely et al. and Shin et al. [25, 23, 24] manually created such mappings for the Mozilla Firefox Browser, Apache HTTP server and parts of the RHEL Linux kernel. 2. use the years 2011äóñ2014 as the test dataset. 3. Common Weakness Enumeration (CVE) database",Yes,"conducted the first large-scale mapping of CVEs to GitHub commits in order to create a vulnerable commit database. a large test database containing 66 C and C++ project with 170,860 commits on which to evaluate and compare our approach"
The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,ccs,2016,Yes,"APK files that corresponded to 14,644 apps on Google Play",Yes,Identified vulnerabilities in Android daemons and apps
Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,ccs,2016,Yes,"1,591 service interfaces of Android 5.1.0",Yes,Identified six previously unknown vulnerabilities in Android service systems
Over-The-Top Bypass: Study of a Recent Telephony Fraud,https://dl.acm.org/authorize.cfm?key=N14327,ccs,2016,Yes,"Performed more than 15,000 test calls during 8 months",Yes,"Conducted a user study with more than 8,000 users"
On the Practical (In-)Security of 64-bit Block Ciphers Collision Attacks on HTTP over TLS and OpenVPN,https://dl.acm.org/authorize.cfm?key=N14377,ccs,2016,Yes,Large number of HTTP requests,Yes,"Various vulnerabilities in Mozilla Firefox, OpenVPN, OpenSSL, Akami, Apple, Microsoft"
Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,ccs,2016,Yes,"Firmware images from 8,126 devices across three architectures and 26 vendors, dataset of over 568,134 functions, Pewny et al and Eschweiler et al used the same public dataset based upon two publicly-available firmware images for baseline comparison",Yes,"Freely available vulnerability database for this effort and for the broader research community, 23 vulnerabilities in firmware images"
On Code Execution Tracking via Power Side-Channe,https://dl.acm.org/authorize.cfm?key=N14310,ccs,2016,Yes,"9  programs,  in  which  eight  of  them  are  from  Dalton Project and the remaining one is an implementation of AES-128 encryption algorithm migrated to our MCU",No,\
POPE: Partial Order Preserving Encoding,https://dl.acm.org/authorize.cfm?key=N14329,ccs,2016,Yes, 2 million public employee salary figures (California public employee payroll data from 2014,No,\
‘£o“Êo“‰äóñ Forward Secure Searchable Encryption,https://dl.acm.org/authorize.cfm?key=N14320,ccs,2016,Yes,English Wikipedia,No,\
What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,ccs,2016,Yes,"Two real geographic datasets Cal, SpitzLoc, one synthetic geographic distribution Globe, and one real time-stamp dataset SpitzTime",No,\
EpicRec: Towards Practical Differentially Private Framework for Personalized Recommendation,https://dl.acm.org/authorize.cfm?key=N14355,ccs,2016,Yes,"MovieLens a movie rating dataset collected by the GroupLens Research Projectand Yelp2: a business rating data provided by RecSys Challenge 2013, metadata from the public äóìMy API Filmsäóù website",No,\
MPC-Friendly Symmetric Key Primitives,https://dl.acm.org/authorize.cfm?key=N14375,ccs,2016,Yes,Figures from the recent MASCOT protocol which uses OT extensions to obtain what are currently the best reported triple generation times with active security,No,\
SmartWalk: Enhancing Social Network Security via Adaptive Random Walks,https://dl.acm.org/authorize.cfm?key=N14370,ccs,2016,Yes,10 various large-scale real-world social network topologies  that  mainly  come  from  the  Stanford  Large  Network Dataset  Collection ,No,\
CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,ccs,2016,Yes,80 crashes  corresponding  to  73  memory  corruption  vulnerabilities archived in Offensive Security Exploit Database,No,\
CSPAutoGen: Black-box Enforcement of Content Security Policy upon Real-world Websites,https://dl.acm.org/authorize.cfm?key=N14383,ccs,2016,Yes,"Alexa Top 50 websites, six real-world web applications with XSS vulnerabilities",No,\
Practical Detection of Entropy Loss in Pseudo-Random Number Generators,https://dl.acm.org/authorize?N14395,ccs,2016,Yes,Five real-world PRNGs,No,Several vulnerabilities found during the implementation of the product
SandScout: Automatic Detection of Flaws in iOS Sandbox Profiles,https://dl.acm.org/authorize.cfm?key=N14397,ccs,2016,Yes,Container sandbox profile from iOS 9.0.2,No,Seven classes of exploitable vulnerabilities
C-FLAT: Control-Flow Attestation for Embedded Systems Software,https://dl.acm.org/authorize.cfm?key=N14390,ccs,2016,Yes,"Open Syringe Pump,  an open-source,  open-hardware syringe pump design",No,\
FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,ccs,2016,Yes,"Papers from the IEEE Symposium on Security and Privacy (S&Päó»08äóñS&Päó»15),  the Computer  Security  Foundations  Symposium  (CSFäó»00äóñCSFäó»14), and  USENIX  Security  (Secäó»11), Drebin dataset",No,\
The äóìWeb/Localäóù Boundary Is Fuzzy: A Security Study of Chromeäó»s Process-based Sandboxing,https://dl.acm.org/authorize.cfm?key=N14394,ccs,2016,Yes,Code for Chromium 33,No,10 SOP checks and their corresponding critical data
Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14356,ccs,2016,Yes,"AOL keyword search log and Kosarak click stream datasets, associate users with either keywords or URLs",No,\
Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,ccs,2015,Yes,Alex top 10K domains,Yes,"(1) packet-level traffic traces collected at various locations in a campus network, and (2) packet-level traces for Tor Pluggable Transport traffic collected in controlled environments."
Maneuvering Around Clouds: Bypassing Cloud-based Security Providers,http://dl.acm.org/citation.cfm?doid=2810103.2813633,ccs,2015,Yes,1. Alexa top 1 million 2. publicly available data of Rapid7äó»s Project Sonar (webserver service scan),Yes,conduct the first large-scale analysis of the effectiveness of the origin-exposing vectors
Making Smart Contracts Smarter,https://dl.acm.org/authorize.cfm?key=N14351,ccs,2016,Yes,"19,366 smart contracts from the blockchain as of May 5,  2016",Yes,"Found the number of mishandled exceptions, transaction-ordering dependence, timestamp dependence and reentrance handling instances within the studied contracts "
Coverage-based Greybox Fuzzing as Markov Chain,https://dl.acm.org/authorize.cfm?key=N14311,ccs,2016,Yes,"GNU binutils as subject because it is non-trivial and widely used for the analysis of program binaries. It con- sists of several tools including nm, objdump, strings, size, and c++filt",Yes,Several vulnerabilities found during the implementation of the product
"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,ccs,2016,Yes,Source code of Debian stable (äóìJessieäóù) and 200 popular open-source projects hosted on GitHub,Yes,"Found vulnerabilities related to integers, migrating from 32 bit and larger address space"
Chainsaw: Chained Automated Workflow-based Exploit Generation,https://dl.acm.org/citation.cfm?id=2978380&CFID=798977837&CFTOKEN=23312577,ccs,2016,Yes,"9 open source applications (myBloggie (2.1.4), scarf beta, DNScript, WeBid (0.5.4), Eve(1.0), schoolmate (1.5.4), geccbblite (0.1), faqforge (1.3.2), webchess (0.9))",Yes,199 first- and second-order injection exploits
An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,ccs,2016,Yes,"87 publicly available Java exploits (Metasploit (22 exploits), Exploit-DB (2), Packet  Storm (5),  from  the security research company Security Explorations (52), and an  online  repository  for  Java  exploits) and associated CVE identifiers",Yes,List of exploits
Deep Learning with Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14365,ccs,2016,Yes,The  popular image datasets: MNIST,No,\
,,,,,and CIFAR-10,,
Membership Privacy in MicroRNA-based Studies,https://dl.acm.org/authorize.cfm?key=N14366,ccs,2016,Yes,"The dataset containing more than 1,000 miRNA ex-",No,\
,,,,,pression profiles publicly available in the gene expression omnibus (GEO) database under reference GSE6174,,
TaintART: A Practical Multi-level Information-Flow Tracking System for Android RunTime,https://dl.acm.org/authorize.cfm?key=N14367,ccs,2016,Yes,"Test  popular  apps  in  the äóìtop  chartäóù  downloaded  from  the Google official market (Google Play) in May 2016, Android Compatibility Test Suite (CTS) in",No,\
,,,,,6.0_r5 version,,
Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,ccs,2016,Yes,"1784 non-obfuscated Android applications from F-Droid, one sample from each of the 49 malware families",No,\
Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,ccs,2016,Yes,"Comprehensive repository of third-party libraries and applications containing 164 libraries of different categories and a total of 2,065 versions, version histories for the top 50 apps of each category on Play between Sep 2015 and July 2016, accumulating to 96,995 packages from 3,590 apps, meta-information, such as app and library release dates, API misuse vulnerabilities",Yes,"360 affected packages from 23 distinct apps with vulnerability of Dropbox SDK versions 1.5.4 and 1.6.1,  394 affected packages from 51 distinct apps with an account hijacking vulnerability, 667 app versions of 296 distinct apps with a cumulative install-base of 3.7bn using ad libs with verified crypto misuse"
A Systematic Analysis of the Juniper Dual EC Incident,https://dl.acm.org/authorize.cfm?key=N14378,ccs,2016,Yes,"ScreenOS 6.2 PRNG cascade subroutines version 6.2.0r14.0 and 6.2.0r15.0,  Internet-wide scan of all IPv4 addresses on port 500, with various messages sent/recieved with certain criteria",No,\
 Measurement and Analysis of,https://dl.acm.org/authorize.cfm?key=N14381,ccs,2016,Yes," SSL certificates from full IPv4 scans, full IPv4 reverse DNS scans, Route-Views datasets,   CAIDAäó»s  AS-to-Organization  dataset, WHOIS data ,  3,275,635 self-managed and 1,781,962",No,\
Private Key Sharing in the HTTPS Ecosystem,,,,,outsourced leaf certificates,,
Unauthorized origin crossing on mobile platforms: threats and mitigation,http://dl.acm.org/citation.cfm?doid=2508859.2516727,ccs,2013,No,\,No,(two attacks)
Practical Anonymous Password Authentication and TLS with Anonymous Client Authentication,https://dl.acm.org/authorize.cfm?key=N14323,ccs,2016,No,\,No,\
Efficient Cryptographic Password Hardening Services from Partially Oblivious Commitments,https://dl.acm.org/authorize.cfm?key=N14324,ccs,2016,No,\,No,\
A Comprehensive Formal Security Analysis of OAuth 2.0,https://dl.acm.org/authorize.cfm?key=N14335,ccs,2016,No,\,No,\
An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,ccs,2016,Yes,"sentences and passwords we collected from MneGenEx,  | MnePerEx, | MnePer, | MneEx by cross validation,| evaluate the strength of passwords generated using the variants as well as two commonly used datasets Yahoo and | phpBB against todayäó»s attacks, | utilizing (1) the 5-order Markov Model trained on Rockyou dataset, | (2) Google password strength API1, and | (3) Zxcvbn deployed by Dropbox,  multiple user studies evaluating the usability of the",No,\
,,,,,"mnemonic strategy, password strength",,
On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,ccs,2016,No,"The PBVault leak is likely from before June 2011 and has a substantial overlap with credentials that were obtained via keystroke logging and HTML form injection, | RockYou list contains 32 million plaintext passwords, |  Gmail list contains over 5 million Google Mail credentials and was posted in September 2014 in a Russian Bitcoin forum, | Yahoo leak is from July 2012 and was obtained by attacking the Yahoo! Voices publishing service; it contains around 450 thousand passwords,  | MySpace list contains around 55,000 passwords that were posted in October 2006",No,\
Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,ccs,2016,Yes,"Dodonew, | CSDN, | 126, | 12306, | Rockyou, | 000webhost,|  Xato, | Yahoo, | Rootkit,",Yes," we build PII-Dodonew with size 161,510 by matching Dodonew with 51job and 12306 using email address, and | PII-000webhost with size 2,950 by matching 000webhost with Rootkit, | we further build three lists of password pairs for Chinese users by matching Dodonew and CSDN with the two PII-associated Chinese password lists using email address"
PIPSEA: A Practical IPsec Gateway on Embedded APUs,https://dl.acm.org/authorize.cfm?key=N14339,ccs,2016,No,\,No,\
MiddlePolice: Toward Enforcing Destination-Defined Policies in the Middle of the Internet,https://dl.acm.org/authorize.cfm?key=N14330,ccs,2016,No,"CAIDA AS relationships dataset, including 52680 ASes and their business relationships",No,\
Protecting Insecure Communications with Topology-aware Network Tunnels,https://dl.acm.org/authorize.cfm?key=N14331,ccs,2016,Yes,"we evaluated 10,000 popular web domains according to Alexa",Yes,"Our final list, including the initial domains, contains 34,893 unique domains resolved to 20,026 distinct IP addresses, we only considered complete network paths for which we had identified all their hops ending up with data for 15,020 of the original 20,026 hosts"
Function Secret Sharing: Improvements and Extensions,https://dl.acm.org/authorize.cfm?key=N14332,ccs,2016,No,\,No,\
"Hash First, Argue Later",https://dl.acm.org/authorize.cfm?key=N14333,ccs,2016,No?,"Statistics has a data generator commit to n 64-bit words. Later, clients can outsource various statistical calculations on that data; for example, we experiment with computing K-bucket histograms. DNA matching creates a commitment to a string of n nucleotides, against which a client can then outsource queries, such as looking for a match for a length K substring",No,\
Practical Non-Malleable Codes from `-more Extractable Hash Functions,https://dl.acm.org/authorize.cfm?key=N14334,ccs,2016,No,\,No,\
A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,ccs,2016,Yes,"two IPv4-address-space-wide scans for SSH servers using ZGrab/ZMap. These were conducted from November 11, 2015 to December 1, 2015 and | from January 22, 2016 to January 27, 2016. We found about 224 servers in each scan., | also randomly sampled 2048 IPs which were reporting dropbear_2014.66 resp. OpenSSH 5.3 to understand what kind of systems were running these services, ",No,\
Systematic Fuzzing and Testing of TLS Libraries,https://dl.acm.org/authorize.cfm?key=N14346,ccs,2016,No,\,No,\
Attacking OpenSSL Implementation of ECDSA with a Few Signatures,https://dl.acm.org/authorize.cfm?key=N14347,ccs,2016,No,\,No,\
Content Security Problems?,https://dl.acm.org/authorize.cfm?key=N14348,ccs,2016,Yes,"we collect the CSP headers from the Alexa Top 1M websites, | built a dataset of CSP violations using our Chromium extension",No,\
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",https://dl.acm.org/authorize.cfm?key=N14349,ccs,2016,Yes,data set that is representative of the web as a whole: a search index consisting of about 6.5 petabytes of data,No,\
Online Tracking: A 1-million-site Measurement and Analysis,https://dl.acm.org/authorize.cfm?key=N14340,ccs,2016,Yes,"All of our measurements use the Alexa top 1 million site list, | use two popular tracking-protection lists for this purpose: EasyList and | EasyPrivacy",No,\
PhishEye: Live Monitoring of Sandboxed Phishing Kits,https://dl.acm.org/authorize.cfm?key=N14341,ccs,2016,Yes,"We collected 643 unique phishing kits, which were uploaded on our honeypot over a period of five months from September 2015 to the end of January 2016, ",No,\
All Your DNS Records Point to Us,https://dl.acm.org/authorize.cfm?key=N14342,ccs,2016,Yes?,"choose a snapshot of Alexaäó»s top 1 million domain list for each year from 2010 to 2016, | we use the DNS tool dig to retrieve the DNS records of every domain in D and S, first identify a list of popular third-party services. To this end, we cluster all CNAME and MX records based on their data fields and then manually check all email and top 200 non-email services in terms of the cluster size",No,\
Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/authorize.cfm?key=N14343,ccs,2016,Yes,"our modified AmpPot version observed 1,351,852 attacks, | our dataset contained TTL values for 168 distinct sources for five measurements, ",No,\
A Unilateral-to-Mutual Authentication Compiler for Key Exchange (with Applications to Client Authentication in TLS 1.3) ä_„,https://dl.acm.org/authorize.cfm?key=N14344,ccs,2016,No,\,No,\
Attribute-based Key Exchange with General Policies,https://dl.acm.org/authorize.cfm?key=N14455,ccs,2016,No,\,No,\
Identity-Concealed Authenticated Encryption and Key Exchange,https://dl.acm.org/authorize.cfm?key=N14456,ccs,2016,No,\,No,\
Generic Attacks on Secure Outsourced Databases,https://dl.acm.org/authorize.cfm?key=N14457,ccs,2016,Yes,"518 datasets from the Texas Hospital Inpatient Discharge Public Use Data File of 2008 (PUDF), | and the 1049 datasets from the 2009 HCUP Nationwide Inpatient Sample (NIS),",No,\
"The Shadow Nemesis: Inference Attacks on Efficiently Deployable, Efficiently Searchable Encryption",https://dl.acm.org/authorize.cfm?key=N14458,ccs,2016,Yes,"Enron email corpus includes real emails from the mailboxes of 150 employees of Enron Corporation, received between 2000 and 2002, | Ubuntu Chat Corpus is composed of archived chat logs from Ubuntuäó»s Internet Relay Chat technical support channels. This corpus comes from the logs between July 2004 and October 2012",No,\
Breaking Web Applications Built On Top of Encrypted Data,https://dl.acm.org/authorize.cfm?key=N14459,ccs,2016,Yes?,"a dictionary of 354,986 English words, | using several yearsäó» worth of Ubuntu IRC logs ",No,\
Host of Troubles: Multiple Host Ambiguities in HTTP Implementations,https://dl.acm.org/authorize.cfm?key=N14450,ccs,2016,Yes,"1.5 million advertising impressions with about $110 on the Bit-torrent PC client uTorrent, which distributes Flash advertisements as part of the revenue model, 1.5 million advertising impressions with about $110 on the Bit-torrent PC client uTorrent, which distributes Flash advertisements as part of the revenue model",No,\
